id,SiO_var,SiOSi_skew,SiOSi_gmean,SiO_skew,SiO_gmean,SiO_max,density,SiO_mean,largest_free_sphere,k_dft,mode_dim,volume,AV,SiOSi_min,max_dim,SiOSi_var,SiOSi_hmean,largest_included_sphere,min_dim,SiOSi_std,NAV,g_dft,SiO_min,SiO_average,largest_included_sphere_free,spg,SiO_hmean,NASA,VolFrac,ASA,SiOSi_average,SiOSi_mean,SiO_std,SiOSi_max
9578069,0.000328476,-0.811859047,148.2006245,0.853826827,1.607937516,1.641097541,1.548515986,1.608039008,4.94533,67.84697822,0,20.11404543,0,156.1424121,0,31.24817998,162.8544291,5.78308,0,5.590007154,0.0411628,11.74092954,1.587563171,1.608039008,5.66741,70,1.607836671,0,0.16534,942.741,148.4316093,148.4316093,0.018123897,156.0534297
9578085,6.76E-06,0.091574484,159.5431637,1.196647507,1.60920075,1.615461141,1.772124092,1.609202847,2.94274,30.16642357,1,20.3554893,0.142059,128.7249761,1,144.1616307,150.5459787,14.15223,1,12.00673272,6.12E-05,17.44531172,1.606723946,1.609202847,4.26047,59,1.609198656,53.5513,0.02374,0,160.0795678,160.0795678,0.002599501,180
9578090,5.46E-06,0.277167756,152.119388,-0.791091507,1.611935674,1.615045463,1.964810666,1.611937371,3.36427,15.93760771,0,17.69194202,0,147.5103913,0,61.61085337,153.3772023,4.94437,0,7.849258141,0.0145654,10.72165663,1.607174602,1.611937371,3.75076,2,1.611933977,13.4642,0.02492,0,152.9860798,152.9860798,0.002337595,180
9578127,0.000104666,-0.078530551,142.5007894,1.811206781,1.608988843,1.638011952,2.244629534,1.609021122,0.89834,40.51651881,1,22.22199608,0.166619,130.2927419,1,142.0793779,148.3798129,12.18229,1,11.91970545,0,23.68666505,1.597716607,1.609021122,3.14214,40,1.608956808,0,0,0,143.1300016,143.1300016,0.010230644,162.3191553
9578143,2.06E-05,0.240361744,150.4531162,-0.365550208,1.622994033,1.627792652,1.662628091,1.623000395,2.95756,34.1657976,0,19.90401316,0,153.3194056,0,74.83518173,162.8173435,7.64501,0,8.650733017,0.0572631,25.08560529,1.615040806,1.623000395,5.01736,12,1.622987666,328.509,0.06352,0,150.7264677,150.7264677,0.004543019,164.3537562
9578187,0.000140047,1.210453728,155.3952041,-0.826995907,1.604218687,1.614812687,1.759295312,1.604262515,3.12105,44.82668885,0,16.63542804,0,133.5335982,0,176.7930778,148.78312,3.85647,0,13.29635581,0.00697285,25.09123691,1.582453701,1.604262515,3.62211,193,1.604174681,0,0.02646,0,155.7864711,155.7864711,0.011834144,180
9578232,8.70E-05,0.074241016,149.5395322,-0.025465245,1.60673068,1.621198325,1.84319766,1.606757763,3.31598,39.82316757,3,24.55169904,0.173441,138.4006926,3,135.8893695,154.3742981,10.86794,3,11.65715958,4.43E-05,16.79073267,1.592836573,1.606757763,4.06324,22,1.606703595,32.3502,0.02604,0,150.0368038,150.0368038,0.009328396,170.7010858
9578328,3.44E-05,-1.013467688,159.3302266,-0.603765558,1.603783827,1.60899324,1.620397128,1.603794561,2.5233,72.02470567,1,23.3580181,0.15939,142.1715591,1,193.8236294,153.6788564,13.43954,1,13.9220555,0,21.86149878,1.595159931,1.603794561,5.98035,187,1.603773078,411.479,0,0,159.4587716,159.4587716,0.005863326,173.2341813
9578332,0.000326267,-0.011523902,145.1668394,0.878867271,1.613240109,1.647355441,1.571658769,1.613340572,14.64642,62.44011745,1,15.63893433,0.0451431,121.8576488,1,353.8416194,148.952504,10.60043,1,18.81067833,0.00143894,16.2944086,1.59489803,1.613340572,14.68023,169,1.6131403,0,0.2803,578.392,145.9149969,145.9149969,0.018062864,167.1389848
9578373,0.000172725,-0.489057714,159.5667352,-0.055045198,1.607432244,1.623307405,1.553203475,1.607485988,2.19585,60.0468266,2,20.32279477,0.09149,126.5783132,2,182.8319658,149.873757,9.24981,2,13.52153711,0.00511299,31.60281761,1.58743958,1.607485988,7.53775,160,1.607378483,478.86,0,0,160.6368962,160.6368962,0.013142502,179.9997607
9578389,0.000376798,0.797985856,145.0381049,0.351042291,1.610228038,1.640279286,2.136757164,1.610344715,1.87507,86.15070315,1,18.16318855,0.0131293,149.8114192,1,120.2926117,158.9162752,5.62121,1,10.96779885,0.00194427,40.43503622,1.580852548,1.610344715,3.6749,4,1.610111682,3.16484,0,0,145.3905929,145.3905929,0.019411292,172.6888024
9578409,0.000169738,-0.895931135,161.0816462,-0.447309758,1.605703876,1.618987173,1.878601581,1.605756858,2.16786,51.01576875,1,28.84717265,0.316911,146.8162954,1,136.4638849,155.57284,17.61042,1,11.68177576,0,39.13725496,1.587127067,1.605756858,3.47232,51,1.605650766,0,0,0,162.5716617,162.5716617,0.013028352,180
9578464,7.65E-05,-0.461516614,163.7891106,0.081563425,1.603464134,1.61741581,1.845830258,1.60348797,3.38155,43.5447406,2,19.04357627,0.0203199,95.13481754,2,286.9486102,148.6707805,7.48498,2,16.93955756,0.0271839,26.21848081,1.591030198,1.60348797,4.18852,53,1.603440304,52.9414,0.02344,0,164.0974296,164.0974296,0.008744322,175.8927715
9578528,9.20E-05,-0.928577605,162.7033161,-0.189037291,1.605433958,1.617972532,1.820074157,1.605462648,3.81388,57.42426779,0,20.96967593,0,129.1572313,0,198.0230875,155.3526293,5.86649,0,14.07206764,0.0554665,38.59499412,1.591800827,1.605462648,5.38051,187,1.605405247,0,0.02776,132.011,163.3769324,163.3769324,0.009594206,179.2719113
9578529,5.37E-05,0.659766139,150.166069,0.678547271,1.600337809,1.613252434,1.590482527,1.600354544,14.75338,66.77974695,0,21.07063477,0,129.5710244,0,190.7682887,155.625419,5.95353,0,13.8118894,0.0601,38.72458772,1.591444058,1.600354544,14.9036,163,1.600321108,0,0.2251,543.59,150.7730876,150.7730876,0.007326386,174.3976793
9578530,2.92E-05,-0.929172584,160.8410611,1.024366473,1.605369035,1.615034593,1.511999705,1.605378117,7.48769,54.59875548,2,21.61591568,0.039294,130.2351868,2,112.7951533,154.8560522,6.24743,2,10.62050627,0.0290955,18.66835716,1.600162267,1.605378117,8.20969,51,1.605359974,0,0.18154,612.573,161.8229473,161.8229473,0.005406268,180
9578536,0.000139725,0.103203781,155.8917683,-0.522426278,1.606734974,1.617594806,1.540316522,1.606778567,7.14785,77.20842625,2,22.06123036,0.0823749,129.5118529,2,102.9623981,154.0640433,6.39776,2,10.14703888,1.33E-05,34.23275422,1.587760541,1.606778567,7.58191,194,1.60669127,0,0.12972,569.965,156.0105685,156.0105685,0.011820536,167.3687987
9578541,0.000147415,0.739620419,146.1097276,-0.207280096,1.60311377,1.619720201,1.858515887,1.603159796,4.50942,64.94375909,0,20.58612632,0,142.1587036,0,57.50736536,158.9053854,6.06929,0,7.583361086,0.0501004,24.36313357,1.585158176,1.603159796,5.22601,2,1.603067696,0,0.1004,497.904,146.9879897,146.9879897,0.012141443,180
9578542,0.000268656,0.690226973,146.4693645,-0.141902669,1.60413153,1.629192804,2.00914983,1.604215351,3.10767,47.84480765,0,20.74312337,0,143.2568771,0,61.70926314,157.4516049,6.0925,0,7.855524371,0.053653,34.02165461,1.581174221,1.604215351,3.5534,4,1.604047625,0,0.01286,0,146.9703208,146.9703208,0.016390717,170.8124445
9578550,9.33E-05,-1.076332649,150.0214155,-0.442337883,1.610236694,1.62192389,2.019440927,1.610265718,1.7727,50.01843819,0,20.65466385,0,141.9848191,0,49.12121345,159.267501,6.13442,0,7.008652756,0.0500075,30.15675375,1.595455627,1.610265718,4.34192,167,1.610207619,37.8709,0,0,150.4392973,150.4392973,0.009659408,161.5750962
9578556,0.000103509,0.203487389,146.5195168,0.262732913,1.608994768,1.625308374,1.410536499,1.609026899,13.18562,64.01714884,0,20.66479407,0,143.6675241,0,63.05183113,157.9888265,6.10999,0,7.940518316,0.0523283,15.01533792,1.592754655,1.609026899,13.39868,15,1.608962673,0,0.30344,717.432,147.1819475,147.1819475,0.010173937,180
9578565,0.000149882,0.708532895,153.0429416,0.587634504,1.602141976,1.625343118,1.407066097,1.602188613,13.22485,63.01362536,0,21.07254899,0,129.8252913,0,187.3420606,155.549644,5.97716,0,13.68729559,0.0597379,40.09293205,1.588336822,1.602188613,13.89047,140,1.602095478,0,0.27424,650.049,153.5854671,153.5854671,0.012242622,176.2239484
9578566,5.38E-06,0.484707078,160.278526,0.65119395,1.611015851,1.614339299,1.846355281,1.61101752,3.29793,40.93109426,0,21.30707179,0,130.6710872,0,134.6421415,155.6202836,6.11847,0,11.60354004,0.0637308,25.58734421,1.608906405,1.61101752,4.32281,65,1.611014183,65.2298,0.02138,0,160.4011977,160.4011977,0.002319539,177.4046595
9578567,0.000114088,0.213802626,149.9786469,-0.001622095,1.611617637,1.629883302,1.612389349,1.611653033,1.93822,48.80463261,2,21.17007403,0.0202787,129.8841605,2,124.4572763,155.8906133,6.13013,2,11.15604214,0.0378749,17.28883812,1.596196743,1.611653033,10.8721,137,1.611582239,530.079,0,0,150.571932,150.571932,0.010681185,180
9578570,0.000132607,0.598194559,150.5944299,1.017663219,1.605685155,1.628548839,1.339951444,1.605726249,12.91938,64.81288493,0,20.71101667,0,124.7793189,0,166.5606818,157.1620324,5.82417,0,12.90583906,0.0531082,15.82386287,1.593062493,1.605726249,13.14627,58,1.60564426,0,0.30312,778.552,151.2295689,151.2295689,0.011515493,176.9368097
9578571,0.000120709,0.094574796,152.7173455,-0.332694917,1.597933091,1.616248959,1.48623009,1.59797092,5.10401,80.60446792,0,20.61624545,0,129.5268168,0,101.3030029,159.1984221,5.88506,0,10.06493929,0.0493318,17.15580747,1.576899293,1.59797092,9.83688,109,1.597895201,0,0.20018,848.942,153.3656427,153.3656427,0.010986752,175.1585409
9578572,0.000363728,-1.328497041,152.1305406,-0.70188654,1.595975858,1.614750894,1.87677731,1.596090449,5.97872,54.92839528,0,20.56433249,0,129.9956538,0,96.48582672,159.5022437,5.88211,0,9.822719925,0.0483598,25.56881864,1.567102051,1.596090449,6.11226,179,1.595860624,0,0.0604,245.688,152.3962126,152.3962126,0.019071656,164.7160683
9578574,0.000155076,-0.674326292,152.903453,0.302580466,1.602811913,1.622463078,1.406236548,1.602860214,15.54253,66.91645747,0,20.54503726,0,129.8957735,0,113.7566505,158.9929039,5.84633,0,10.66567628,0.0482155,33.50390249,1.583110652,1.602860214,15.71149,140,1.602763687,0,0.28234,614.62,153.8143966,153.8143966,0.012452937,179.9951796
9578575,0.000294696,0.297119075,155.2819247,0.381762827,1.608320653,1.638593984,1.688381748,1.608412024,2.72027,68.54704063,2,20.86070554,0.0247514,130.3460721,2,112.0955349,156.7228048,6.08002,2,10.58751788,0.0332946,15.29948726,1.584303993,1.608412024,4.56556,132,1.608229522,109.532,0.03656,0,155.6415081,155.6415081,0.017166701,174.7769493
9578576,0.000299791,0.430670411,151.8860453,1.117425183,1.610987691,1.64253413,1.433320838,1.611079998,14.0821,63.78474919,0,20.55712487,0,129.4613666,0,110.080767,158.9808623,5.84028,0,10.49193819,0.0478953,30.95122755,1.592126727,1.611079998,14.14632,137,1.610896117,9.07131,0.25026,556.658,152.4740147,152.4740147,0.017314469,173.6497909
9578577,4.71E-06,-0.114279124,164.3144592,-1.243612543,1.599594281,1.601460133,1.750653699,1.599595756,3.40168,72.14396743,0,20.73632039,0,124.795131,0,165.925534,157.2581447,5.83318,0,12.88120856,0.0521078,14.85436801,1.59465145,1.599595756,5.1786,98,1.599592805,327.379,0.06662,0,164.5343755,164.5343755,0.002170722,179.6966554
9578578,4.44E-05,-0.957609815,155.7747985,1.840831814,1.612014345,1.628733012,1.56742225,1.612028042,2.53256,47.14267291,0,20.71477338,0,124.8129317,0,189.1465073,156.5238352,5.79215,0,13.75305447,0.0539774,22.2904578,1.606547125,1.612028042,6.08617,156,1.612000717,520.985,0,0,156.3346383,156.3346383,0.006662065,174.327717
9578579,0.000154632,-1.021828801,158.4722966,0.045573902,1.609575374,1.628695878,1.603215426,1.609623399,8.3741,70.98907602,0,20.78136544,0,124.7422121,0,181.8948511,156.7102075,5.82742,0,13.48683992,0.0550133,37.3180767,1.592402737,1.609623399,9.97976,65,1.609527361,0,0.17662,563.629,158.9789803,158.9789803,0.0124351,177.1116383
9578581,0.000296257,-0.089205683,154.6780091,-0.756470486,1.602031029,1.615057525,1.512842135,1.602123993,3.36804,71.50642618,0,21.25887323,0,130.6442418,0,137.7920251,155.5533325,6.10234,0,11.73848479,0.064027,44.09627744,1.575216525,1.602123993,6.43286,137,1.601937561,691.882,0.1298,0,154.7621399,154.7621399,0.017212118,165.5467413
9578585,0.000347947,0.495000823,144.3829822,0.776353532,1.604519654,1.638778248,2.201865403,1.604627434,2.95822,122.2190287,0,20.85994684,0,129.736399,0,117.2411047,156.77445,6.06301,0,10.82779316,0.0557517,49.61462819,1.582147014,1.604627434,3.66549,169,1.604412517,0.117088,0.00912,0,144.881802,144.881802,0.018653335,174.6228813
9578586,0.000131222,1.01855194,144.6289586,0.703726064,1.595288251,1.611520737,2.542620993,1.59532924,2.04422,117.1055245,0,20.5763939,0,129.4530866,0,141.3972721,157.9274211,5.80762,0,11.89105849,0.0478016,40.05446025,1.586776088,1.59532924,2.50222,128,1.5952474,0,0,0,145.159535,145.159535,0.011455207,170.4646203
9578587,0.000145379,1.530221607,155.4962893,-1.049684576,1.610829714,1.624275316,1.519270565,1.610875077,6.17756,77.07853946,0,20.52585459,0,129.9698242,0,103.5452053,159.3695324,5.85755,0,10.17571645,0.0481129,31.51820944,1.588160163,1.610875077,6.65031,194,1.61078411,183.71,0.12816,470.11,155.6191005,155.6191005,0.012057315,175.9473813
9578588,0.000269731,-0.141024472,154.3654765,0.752116199,1.611174167,1.642875581,1.407701408,1.611257451,11.15909,76.3399129,0,20.63261039,0,129.9567914,0,134.0664154,158.1527678,5.85157,0,11.57870526,0.0521627,56.23980477,1.58944248,1.611257451,11.56114,124,1.611091299,3.10473,0.24472,657.297,155.2313373,155.2313373,0.016423482,176.8211646
9578589,0.00026076,0.094483948,150.8781433,1.608470138,1.608255413,1.660695969,1.994612316,1.608335627,2.27218,92.56293216,0,20.50405359,0,129.8771958,0,120.6565221,158.8538476,5.82185,0,10.98437627,0.0495947,50.19712593,1.588051284,1.608335627,4.99304,12,1.608176037,100.206,0,0,151.232051,151.232051,0.01614808,166.8450521
9578594,0.00021493,0.277327711,142.3634166,-0.397808972,1.612442225,1.633865689,2.389297926,1.612509034,1.22774,23.99417401,0,20.68309261,0,138.6098295,0,68.22000423,159.1868482,6.06467,0,8.259540195,0.0490876,14.10340703,1.589930858,1.612509034,2.28463,9,1.612375252,0,0,0,142.9494485,142.9494485,0.014660503,170.2318906
9578608,0.000106399,0.26959726,150.4272419,-1.221451185,1.609878741,1.619023426,1.86373382,1.60991196,6.77266,49.68298673,0,20.39054738,0,140.4142218,0,36.96368179,160.1887815,6.02956,0,6.079776459,0.0462902,21.21099112,1.588835746,1.60991196,7.51575,10,1.609845347,0,0.10256,379.894,151.6187988,151.6187988,0.010315011,180
9578657,0.000162666,-0.088200658,156.3283196,-0.972784155,1.600995493,1.61222779,1.221940638,1.601046559,13.69204,65.55676584,0,20.16193659,0,155.7060451,0,9.284315899,162.9325251,5.82864,0,3.047017542,0.0396023,29.12966409,1.576983624,1.601046559,14.337,123,1.600944161,0,0.30968,870.218,156.9102831,156.9102831,0.012754053,176.9838862
9578662,1.47E-05,0.130441911,146.6079423,-0.627509828,1.612754515,1.615951781,2.297162307,1.612759089,2.00836,90.57483334,0,20.13512209,0,156.4501784,0,21.46448626,162.8861244,5.80669,0,4.63297812,0.0401541,29.43410699,1.607404207,1.612759089,3.43546,105,1.612749937,0,0,0,148.034265,148.034265,0.003839155,174.8717712
9578663,6.24E-05,0.595952686,149.6374394,0.010682089,1.61577085,1.627062025,1.442539203,1.615790159,12.83309,64.81923594,0,20.11738459,0,155.6977502,0,28.05735982,162.8169439,5.79449,0,5.296919842,0.041097,41.95092397,1.605115988,1.615790159,13.39234,71,1.615751542,0,0.2739,603.034,150.4239496,150.4239496,0.007899365,178.7529988
9578667,0.000357892,-1.016831061,149.9892538,-0.750172236,1.601502269,1.618385497,1.855447939,1.601614668,4.74255,55.943849,0,20.10315058,0,156.2955774,0,33.97359459,162.7893178,5.77369,0,5.82868721,0.0399061,26.25488683,1.572731954,1.601614668,5.21185,24,1.601389207,0,0.06294,311.536,150.3893351,150.3893351,0.018918026,164.7186279
9578672,0.013047743,-1.337495258,136.8139002,1.307157321,1.656181521,1.909881041,3.170445066,1.659898399,0.20286,53.0794388,0,20.0977268,0,156.0527439,0,38.11307185,162.801126,5.77658,0,6.173578529,0.0418546,30.56743462,1.580482774,1.659898399,0.97943,14,1.652673263,0,0,0,138.8817689,138.8817689,0.114226716,158.3007656
9578735,5.95E-05,0.069578966,152.5169013,0.804022639,1.60993546,1.624878209,1.860927256,1.609953901,3.39491,47.53090565,1,19.25009398,0.0381658,142.4987846,2,77.87329268,155.494492,5.82602,1,8.824584561,1.13E-05,27.28437365,1.601041439,1.609953901,3.92313,1,1.609917065,45.8551,0.02608,0,152.9660704,152.9660704,0.007715684,171.393826
9578737,7.77E-05,-1.203094178,163.9116177,-0.49310623,1.608914324,1.617968796,1.677545504,1.60893851,4.79346,51.71413236,1,20.80746262,0.10472,128.8229677,1,204.963174,152.0715511,9.56332,1,14.31653499,0,24.45346836,1.593283598,1.60893851,6.16252,65,1.608890094,0,0.10542,514.769,164.6640988,164.6640988,0.008814019,180
9578770,0.000242697,0.486479854,150.5172835,0.000165042,1.611327562,1.630996976,1.402464666,1.611402872,13.25155,62.07752726,1,22.29562857,0.18975,124.0914886,1,235.8162234,150.5347222,21.1265,1,15.35630891,0,28.25622859,1.592139224,1.611402872,13.55145,93,1.611252253,0,0.28476,693.593,151.4638605,151.4638605,0.01557874,178.7466144
9578786,0.000123667,-0.149756222,167.0621668,0.06566092,1.619888775,1.634322942,1.829291101,1.619926934,1.7516,56.2371858,1,20.93162986,0.131932,131.9583725,1,142.315758,147.3374467,15.92312,1,11.92961684,0,21.21942607,1.606985596,1.619926934,3.7643,8,1.619850627,0.659486,0,0,167.2305648,167.2305648,0.011120545,177.786162
9578830,0.00018319,-0.355801604,163.4884963,-0.15321737,1.603548501,1.619997493,1.839887841,1.60360567,3.47321,43.6364364,2,18.90384276,0.0136999,146.9018593,2,128.7146474,155.025394,3.63526,2,11.34524779,0,24.95574826,1.585787446,1.60360567,4.19047,65,1.603491283,52.3496,0.0237,0,163.7937334,163.7937334,0.01353476,178.6936249
